paradigm,bertopic_id,other_id,jaccard
lda,0,23,0.35
lda,1,13,0.08
lda,2,17,0.038461538461538464
lda,3,29,0.038461538461538464
lda,4,50,0.22727272727272727
lda,5,41,0.0
lda,6,74,0.125
lda,7,44,0.0
lda,8,20,0.0
lda,9,75,0.08
lda,10,66,0.17391304347826086
lda,11,6,0.17391304347826086
lda,12,15,0.2857142857142857
lda,13,1,0.038461538461538464
lda,14,38,0.038461538461538464
lda,15,60,0.0
lda,16,57,0.08
lda,17,26,0.08
lda,18,40,0.125
lda,19,8,0.0
lda,20,36,0.08
lda,21,67,0.08
lda,22,46,0.0
lda,23,14,0.08
lda,24,9,0.0
lda,25,35,0.35
lda,26,58,0.5
lda,27,21,0.038461538461538464
lda,28,78,0.35
lda,29,45,0.17391304347826086
lda,30,68,0.2857142857142857
lda,31,16,0.17391304347826086
lda,32,4,0.5882352941176471
lda,33,7,0.08
lda,34,43,0.0
lda,35,3,0.038461538461538464
lda,36,32,0.0
lda,37,61,0.08
lda,38,52,0.0
lda,40,54,0.038461538461538464
lda,42,71,0.038461538461538464
lda,44,64,0.038461538461538464
lda,46,51,0.038461538461538464
lda,47,25,0.038461538461538464
lda,49,11,0.038461538461538464
lda,50,69,0.125
lda,51,77,0.08
lda,52,39,0.08
lda,53,79,0.038461538461538464
lda,54,72,0.08
lda,55,76,0.038461538461538464
lda,58,47,0.2857142857142857
lda,60,53,0.17391304347826086
lda,61,12,0.038461538461538464
lda,62,62,0.08
lda,63,10,0.17391304347826086
lda,65,59,0.125
lda,66,48,0.08
lda,67,34,0.08
lda,68,28,0.125
lda,69,30,0.038461538461538464
lda,72,22,0.038461538461538464
lda,74,73,0.038461538461538464
lda,77,33,0.038461538461538464
lda,78,56,0.038461538461538464
lda,83,19,0.038461538461538464
lda,84,0,0.17391304347826086
lda,86,18,0.08
lda,87,27,0.17391304347826086
lda,88,2,0.038461538461538464
lda,89,55,0.125
lda,92,70,0.038461538461538464
lda,93,5,0.22727272727272727
lda,94,63,0.08
lda,95,49,0.038461538461538464
lda,96,65,0.038461538461538464
lda,98,24,0.22727272727272727
lda,99,37,0.125
lda,100,42,0.08
