paradigm,n_pairs,mean_cosine_similarity,mean_jaccard_top_terms
lda,80,0.17609035322810845,0.10531298928054042
nmf,80,0.42485291572496003,0.29751584262587594
kmeans,80,0.36522443632496565,0.2462695855850301
