bertopic_id,display_name,lda_aligned,nmf_aligned,kmeans_aligned,triangulated_terms,n_triangulated_terms,triangulated_nps,n_triangulated_nps,mean_paradigm_jaccard
82,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic",,6.0,22.0,cptsd,1,"complex ptsd, posttraumatic ptsd, and ptsd, with ptsd, and posttraumatic, has been",6,0.08463768115942029
46,"Perceive Social, Role Social, Support Depressive, Buffer",51.0,27.0,38.0,perceive social,1,"social support, perceived social, and social, the relationship, the mediating, the role, has been, role social",8,0.11524475524475525
31,Suicidality & suicidal ideation,16.0,8.0,67.0,ideation,1,"suicidal ideation, and suicidal, the relationship, with suicidal, the mediating, the role, this aimed",7,0.15320910973084886
94,"Reward, Task, Neural, Processing",63.0,,0.0,neural,1,"the development, has been, the present",3,0.05333333333333334
54,"Veteran, Military, Combat, Military Veteran",72.0,75.0,78.0,military,1,"military veterans, and military, posttraumatic ptsd, and veterans, adverse experiences",5,0.20615384615384613
14,Adverse childhood experiences (ACE),38.0,71.0,65.0,,0,"and resilience, adverse experiences, the relationship, the role, experiences aces, the this, have been, this aimed",9,0.03948717948717949
34,"Violence Exposure, Genderbased, Genderbased Violence, Exposure Violence",43.0,30.0,39.0,,0,"the this, the relationship",2,0.0
37,"Parentchild, Parentchild Relationship, Parenting, Parentchild Interaction",61.0,60.0,75.0,,0,"the relationship, adverse experiences, has been, have been, the development",5,0.02666666666666667
55,"Psychotherapy, Chronic Depression, Antidepressant, Major Depression",76.0,76.0,7.0,,0,"the relationship, major depressive, has been, mediating role, this aimed",5,0.05230769230769231
53,"Adverse Event, Growth, Mortality, Trajectory",79.0,52.0,,,0,"has been, the relationship",2,0.025641025641025644
51,"Disclosure, Disclose, Csa, Tell",77.0,78.0,60.0,,0,"and setting, the current, the this, the present, has been, have been",6,0.08463768115942029
56,"Polyvictimization, Victimization Experience, Type Victimization, Violent Victimization",,64.0,4.0,,0,"the relationship, the current, has been, the this, the role, the impact",6,0.012820512820512822
48,"Teacher, Classroom, Attitude, Learner",,37.0,61.0,,0,"the this, was conducted, csa prevention, prevention program, the effectiveness, this aimed, prevention programs",7,0.08333333333333333
43,"Traumainformed, Traumainformed Care, Traumainformed Practice, Principle",,55.0,21.0,,0,"have experienced, the impact, who have, has been, adverse experiences, this paper",6,0.05448717948717949
47,"Memory, False, Autobiographical, Autobiographical Memory",25.0,74.0,28.0,,0,"the present, the this, has been, the impact",4,0.012820512820512822
72,"Aggression, Aggressive, Reactive, Relational Aggression",22.0,,46.0,,0,the relationship,1,0.025641025641025644
71,"Domestic, Domestic Violence, Dv, Witness Domestic",,,44.0,,0,"domestic violence, violence against, against women",3,0.057971014492753624
70,"Ptg, Heal, Inquiry, Recovery",,21.0,,,0,the this,1,0.02666666666666667
69,"Prevention Program, Schoolbased, Skill, Curriculum",30.0,,34.0,,0,,0,0.025641025641025644
68,"Pregnancy, Postpartum, Perinatal, Unintended",28.0,,64.0,,0,"during pregnancy, pregnant women",2,0.09963768115942029
67,"Alexithymia, Toronto, Toronto Alexithymia, Ta",34.0,,63.0,,0,,0,0.03948717948717949
66,"Aud, Drinking, Drink, Alcoholrelated",48.0,,,,0,,0,0.02666666666666667
65,Psychosis & psychotic-like experiences,59.0,,,,0,,0,0.041666666666666664
64,"Csam, Material Csam, Pornography, Enforcement",,65.0,,,0,,0,0.012820512820512822
62,"Mindfulness, Satisfaction, Couple, Relationship Satisfaction",62.0,,,,0,,0,0.02666666666666667
57,"Young People, People Experience, Harmful, Helpseeking",,42.0,,,0,"young people, and young, for young, who have, people with, this paper, the this",7,0.041666666666666664
49,"Woman Experience, Reproductive, Premenstrual, Family Plan",11.0,73.0,,,0,"women with, and women, the this, has been",4,0.05448717948717949
79,"Latent Profile, Latent, Profile Identify, Distinct Profile",,,74.0,,0,"adverse experiences, and latent",2,0.02666666666666667
78,"Selfcompassion, Compassion, Shame, Selfcriticism",56.0,38.0,62.0,,0,"the mediating, the relationship, mediating role, the present, this aimed, has been, and depression",7,0.0974581939799331
75,"Family Member, Family Function, Family Environment, Family Dynamic",,,,,0,,0,0.0
73,"Caregiver, Caregiver Support, Caregiver Experience, Caregiverchild",,,,,0,,0,0.0
88,"Node, Bridge, Central, Network Structure",2.0,56.0,,,0,"network approach, the relationship, the complex, the network",4,0.15317139001349525
85,"Men Woman, Masculinity, Gay, Msm",,,,,0,,0,0.0
81,"Childbirth, Maternity, Mistreatment, Obstetric",,,,,0,,0,0.0
83,"Experience Adverse, Household Dysfunction, Capital, Deviant",19.0,,77.0,,0,"adverse experiences, the adverse, the relationship, have been",4,0.025641025641025644
76,"Narrative, Story, Autonomy, Psychoanalysis",,,,,0,,0,0.0
90,"Gut, Microbiome, Ibs, Axis",,,45.0,,0,"maternal separation, has been",2,0.012820512820512822
91,Adverse childhood experiences (ACE),,,,,0,,0,0.0
89,Adverse childhood experiences (ACE),55.0,,,,0,,0,0.041666666666666664
96,College students & campus prevention,65.0,,79.0,,0,"the relationship, the mediating, college students, mediating role",4,0.03948717948717949
95,"Sibling, Ssa, Incest, Intrafamilial",49.0,,,,0,,0,0.012820512820512822
98,"Infection, Genital, Vaginal, Lesion",24.0,,,,0,,0,0.07575757575757576
97,"Cop Strategy, Cop Style, Style, Religious",,,,,0,,0,0.0
99,"Adhd, Hyperactivity, Deficit Hyperactivity, Attentiondeficit",37.0,70.0,,,0,"hyperactivity adhd, attention deficit, deficit hyperactivity, with adhd, the relationship",5,0.1820175438596491
101,"Divorce, Alienation, Parental Education, Parental Divorce",,,,,0,,0,0.0
102,"Deprivation, Threat Deprivation, Deprivation Threat, Dimensional",,50.0,,,0,"and deprivation, and threat, has been",3,0.012820512820512822
104,"Hr Ci, Hr, Ci Ci, Schoolchildren",31.0,,,,0,,0,0.02666666666666667
