source,target,weight
0,10,0.4672715961933136
0,11,0.4707808494567871
0,28,0.5037747025489807
0,74,0.3970623016357422
0,84,0.4537353217601776
0,90,0.7334587574005127
0,92,0.40251603722572327
0,94,0.5967286229133606
1,15,0.5440341234207153
1,16,0.6328800916671753
1,37,0.7091480493545532
1,42,0.6717890501022339
1,43,0.6706180572509766
1,53,0.7198078632354736
1,54,0.5624562501907349
1,60,0.7081260681152344
1,61,0.7302581071853638
1,63,0.6292461156845093
1,66,0.5885134339332581
1,73,0.6770148873329163
1,75,0.7140621542930603
1,81,0.356374055147171
1,83,0.9598575234413147
1,103,0.5954141020774841
2,25,0.6022276878356934
2,33,0.5750164985656738
2,43,0.6003599166870117
2,47,0.6542548537254333
2,54,0.6978718042373657
2,55,0.5812875628471375
2,76,0.615188479423523
2,82,0.834387481212616
3,8,0.6266106963157654
3,9,0.5959295034408569
3,20,0.48691174387931824
3,22,0.6036846041679382
3,24,0.3796958327293396
3,51,0.7286049127578735
3,57,0.6102544665336609
3,64,0.3748559355735779
3,69,0.6237051486968994
3,70,0.7171246409416199
3,73,0.6152467131614685
3,85,0.6194785237312317
3,95,0.6142640113830566
3,98,0.49125707149505615
3,100,0.5382534265518188
4,34,0.739808201789856
4,44,0.38198915123939514
4,49,0.6582251787185669
4,56,0.6237170696258545
4,59,0.9313218593597412
4,71,0.8539342880249023
4,80,0.7263135313987732
4,85,0.583391547203064
4,101,0.5503443479537964
5,8,0.5034536123275757
5,34,0.49900564551353455
5,37,0.47573524713516235
5,39,0.454323947429657
5,56,0.4459065794944763
5,98,0.5366029739379883
5,101,0.47657936811447144
5,104,0.5035660266876221
6,13,0.6272875070571899
6,21,0.5165292024612427
6,26,0.566074013710022
6,30,0.6054136157035828
6,33,0.5481950044631958
6,37,0.6187326908111572
6,39,0.6217864751815796
6,41,0.6143285036087036
6,50,0.692908763885498
6,62,0.6818654537200928
6,101,0.650781512260437
7,40,0.5951006412506104
7,41,0.5414686799049377
7,42,0.5852444171905518
7,55,0.5582901239395142
7,61,0.5836770534515381
7,73,0.5447170734405518
7,75,0.5458382964134216
7,97,0.5504529476165771
8,9,0.6012809872627258
8,35,0.5468096733093262
8,37,0.6928696036338806
8,38,0.5004880428314209
8,39,0.6862205862998962
8,42,0.6669597625732422
8,44,0.43886426091194153
8,45,0.6300077438354492
8,48,0.6706013679504395
8,57,0.6397721171379089
8,64,0.30599871277809143
8,69,0.573610782623291
8,73,0.697210967540741
8,75,0.7047640085220337
8,81,0.37193283438682556
8,91,0.40924108028411865
8,95,0.6394342184066772
8,101,0.7010746598243713
8,104,0.7465196847915649
9,20,0.4548124074935913
9,22,0.5755641460418701
9,56,0.5936830639839172
9,57,0.6205118298530579
9,64,0.4631291329860687
9,69,0.48700886964797974
9,75,0.5904987454414368
9,85,0.6000434756278992
9,95,0.639163613319397
9,100,0.4512960612773895
10,11,0.5109743475914001
10,13,0.474407821893692
10,58,0.465431809425354
10,60,0.517090916633606
10,74,0.4691691994667053
10,90,0.46469470858573914
10,92,0.5454822778701782
10,94,0.47951483726501465
11,27,0.5537768602371216
11,55,0.5251348614692688
11,58,0.5278340578079224
11,60,0.565575122833252
11,74,0.6691816449165344
11,84,0.5364120602607727
11,90,0.5225111246109009
11,92,0.5299981832504272
11,94,0.5856204032897949
13,21,0.5003759264945984
13,23,0.6563271880149841
13,25,0.641682505607605
13,26,0.6434857249259949
13,27,0.7182425260543823
13,28,0.5947661399841309
13,30,0.6568579077720642
13,37,0.6878730058670044
13,40,0.6580364108085632
13,42,0.6964746713638306
13,50,0.7148406505584717
13,55,0.6722664833068848
13,58,0.5507134199142456
13,60,0.7538740038871765
13,61,0.6727951169013977
13,62,0.6329011917114258
13,68,0.586276650428772
13,74,0.635401725769043
13,78,0.5320127606391907
13,81,0.35720908641815186
13,84,0.6608123779296875
13,92,0.6145523190498352
