UT,Publication Year,Document Type,lda_topic,lda_probability
WOS:000675866400001,2021,Article,12,0.33712499404260426
WOS:000873745800001,2023,Article,18,0.3245170239649379
WOS:001204428000001,2024,Article,18,0.4626639874945663
WOS:001449136100001,2025,Article; Early Access,31,0.573934860603585
WOS:001426429800001,2025,Article,27,0.24357563859397727
WOS:000725601900001,2021,Article,17,0.45963918596535164
WOS:000815977900001,2022,Article,0,0.21315044603097172
WOS:001528994600002,2025,Article,10,0.23900923272045307
WOS:001500510800001,2025,Article,8,0.37388991914796704
WOS:001378472800001,2024,Article; Early Access,3,0.34820114070761055
WOS:000536607600006,2020,Article,4,0.25823535622768884
WOS:000656735300001,2021,Article,21,0.502870106407367
WOS:000720371500011,2021,Article,9,0.25863084938639297
WOS:001335829300020,2022,Article,3,0.3019731143140109
WOS:001072854000001,2024,Article,8,0.538425498405758
WOS:000859466700003,2022,Article,1,0.361084809472656
WOS:000617825400001,2021,Article,4,0.9121252929959135
WOS:000606717200001,2021,Article,21,0.27498743076734666
WOS:001004036600001,2023,Article,11,0.22445127218091934
WOS:000716275000001,2021,Article,4,0.5973284093798097
WOS:000697191100002,2021,Article,4,0.49061424543926424
WOS:000916611300001,2023,Article,5,0.7632830875756039
WOS:001214093900002,2024,Article,3,0.3701880014305724
WOS:001565946800001,2025,Article,1,0.3439645283863734
WOS:000670427300004,2021,Article,21,0.1850350654922675
WOS:000695211000007,2021,Article,25,0.4185849984714079
WOS:000896849700002,2023,Article,14,0.32290287454311056
WOS:001134757200001,2024,Article,4,0.6259272374953413
WOS:001533700700010,2023,Article,5,0.4835102416946278
WOS:001352010400004,2024,Article,20,0.24194183383995516
WOS:001548244500002,2025,Article,2,0.5144862735854592
WOS:000518875600018,2020,Article,12,0.38962584073468143
WOS:001663079600001,2025,Article,17,0.28393333825774686
WOS:000692906900013,2021,Article,8,0.3302207129674668
WOS:000878634600018,2022,Article,13,0.2818900702486052
WOS:000514403200003,2020,Article,12,0.30068578155676834
WOS:000829452000034,2022,Article,28,0.5215960816499764
WOS:000785511900001,2022,Article,17,0.2973146155769521
WOS:001026470600001,2023,Article,30,0.5327529951318025
WOS:000759841900001,2022,Article,21,0.5283904107212573
WOS:000814742400002,2022,Article,4,0.5283822679877441
WOS:000536716600009,2020,Article,27,0.46628955933138777
WOS:001368507400001,2025,Article,3,0.5451569712613688
WOS:001181009300001,2024,Article,19,0.36735675435732773
WOS:000897788800002,2022,Article,11,0.38633550944130113
WOS:001332451700001,2024,Article,13,0.25188366084532304
WOS:000658753000016,2021,Article,13,0.18021825211760262
WOS:000519226700020,2020,Article,29,0.5867014720682945
WOS:001417128500001,2025,Article,20,0.41158940463969823
WOS:001539710600002,2025,Article,16,0.315715813175408
WOS:000732062800013,2022,Article,13,0.4652462075939508
WOS:000531077400016,2020,Article,11,0.5466813635120127
WOS:000612286000033,2021,Article,28,0.5750741228059286
WOS:001482089600001,2025,Article,2,0.6497170111579433
WOS:000849171400001,2023,Article,17,0.21524183997188182
WOS:000613510500043,2021,Article,2,0.3846106581258476
WOS:001396268400001,2025,Article,6,0.44849995435332146
