topic,display_name,label_keywords,n_documents,n_contemporary,contemporary_share,mean_citations,median_citations,citations_per_doc,early_n,late_n,acceleration_log_ratio,kendall_tau,kendall_p,trend,volume_z,growth_z,accel_z,citation_z,contemporary_z,research_opportunity_index,gap_score,theme_class
102,"Deprivation, Threat Deprivation, Deprivation Threat, Dimensional","deprivation, threat deprivation, deprivation threat, dimensional, ela, development deprivation, neural development, neural",66,55,0.8333333333333334,21.333333333333332,6.0,21.333333333333332,11,43,1.2992829841302609,0.23809523809523814,0.5619047619047619,stable,-1.3462089987443366,0.6778572663814844,2.086460824312925,3.2373458291634694,1.9452921630616176,9.293165081663833,4.615385261238365,emerging
36,Image-based sexual abuse,"imagebased, nonconsensual, image, sexting, revenge, pornography, porn, digital",141,120,0.851063829787234,17.26950354609929,8.0,17.26950354609929,21,89,1.4087672169719492,0.9047619047619049,0.002777777777777778,increasing,0.15158500365886876,2.291174365755869,2.4184404922479494,2.1203229582478915,2.238567236676734,8.916920049269574,4.3190344595593135,emerging
96,College students & campus prevention,"addiction, internet addiction, internet, game, smartphone, ia, college student, problematic internet",73,62,0.8493150684931506,14.068493150684931,6.0,14.068493150684931,11,53,1.5040773967762742,0.5238095238095238,0.1361111111111111,stable,-1.1480560613873136,1.3692788803990776,2.7074413923868725,1.240462824108264,2.2096414759914067,8.674880634272935,4.2423870918362265,emerging
61,College students & campus prevention,"subjective wellbeing, subjective, satisfaction, hedonic, wellbeing resilience, resilience wellbeing, college, wellbeing young",114,99,0.868421052631579,7.0964912280701755,4.0,7.0964912280701755,15,72,1.5178707189086098,0.8095238095238096,0.010714285714285714,increasing,-0.268948450914951,2.0607004944166714,2.7492657024483487,-0.6759278741667047,2.5256680982157436,6.928654871829009,3.2545190573561418,emerging
82,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic","cptsd, ptsd cptsd, icd, complex posttraumatic, dso, complex ptsd, posttraumatic cptsd, ptsd complex",87,69,0.7931034482758621,15.367816091954023,8.0,15.367816091954023,18,53,1.0445450673978338,0.23809523809523814,0.5619047619047619,stable,-0.802544882950741,0.6778572663814844,1.3140408437155875,1.597607074259233,1.2798611339624903,5.671911201269536,2.9191362534430874,emerging
13,"Cm, Mdd, History Cm, Relationship Cm","cm, mdd, history cm, relationship cm, cm experience, cm exposure, cm type, experience cm",227,192,0.8458149779735683,8.475770925110131,5.0,8.475770925110131,35,154,1.4599061784631366,0.7142857142857143,0.03015873015873016,increasing,1.095801165401094,1.830226623077473,2.5735047879345707,-0.29680595035409957,2.151747479201246,5.162871774458097,1.6618962220999522,emerging
64,"Csam, Material Csam, Pornography, Enforcement","csam, material csam, pornography, enforcement, law enforcement, law, technology, digital",108,89,0.8240740740740741,6.2592592592592595,4.5,6.2592592592592595,19,75,1.33500106673234,0.5238095238095238,0.1361111111111111,stable,-0.37579771570727083,1.3692788803990776,2.1947657088953463,-0.9060574087159359,1.7921374023959449,4.825922298681704,2.188116592946353,emerging
23,"Mdd, Major Depressive, Depressive Mdd, Gyrus","mdd, major depressive, depressive mdd, gyrus, mdd healthy, connectivity, hcs, functional",186,150,0.8064516129032258,11.580645161290322,8.0,11.580645161290322,36,110,1.0986122886681098,0.7142857142857143,0.03015873015873016,increasing,0.7005081357206134,1.830226623077473,1.4779842508857315,0.556629285546953,1.5006493095161166,4.664981333305661,2.158357784888395,emerging
78,"Selfcompassion, Compassion, Shame, Selfcriticism","selfcompassion, compassion, shame, selfcriticism, mindfulness, gratitude, mediate role, posttraumatic growth",91,70,0.7692307692307693,11.483516483516484,6.0,11.483516483516484,21,52,0.879249460193806,0.6190476190476191,0.06904761904761905,stable,-0.7139061786284057,1.5997527517382755,0.8128291224802644,0.5299315742313883,0.8849899738377339,4.541409600916068,3.0211197044012423,emerging
100,"Medium, Social Medium, Metoo, News","medium, social medium, metoo, news, discourse, movement, coverage, digital",67,52,0.7761194029850746,9.582089552238806,2.0,9.582089552238806,15,38,0.8909729238898652,0.3571428571428571,0.27509920634920637,stable,-1.3166670878622515,0.9659496055554814,0.8483771779751018,0.007287300033673612,0.9989328956647777,4.137214067091286,2.7857267912669585,emerging
38,"Sport, Athlete, Coach, Harassment","sport, athlete, coach, harassment, safeguard, iv, interpersonal violence, safe",136,111,0.8161764705882353,11.316176470588236,5.0,11.316176470588236,25,69,0.990398704027877,0.33333333333333337,0.3813492063492063,stable,0.08010629299412604,0.9083311377206822,1.1498574607307552,0.4839349081684166,1.661505400651695,4.123522614277423,1.9009449991366119,emerging
