term,count_early,count_late,count_contemporary,rate_early,rate_late,burst_score,log_odds_late_vs_early
childhood circumstances,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
severe-enduring eating disorder,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
sexuality education,7,6,9,2.5,2.1666666666666665,-0.14310084364067344,-0.7602022267517814
group-psychotherapy,2,1,2,0.8333333333333334,0.5,-0.5108256237659907,-1.1279270068770977
crime exposure,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
stress appraisals,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
female sexual functioning,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
trouble sleeping,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
disrespect and abuse,1,5,6,0.5,1.8333333333333333,1.2992829841302609,0.6821816010191535
postmortem,2,3,3,0.8333333333333334,1.1666666666666667,0.336472236621213,-0.28062914648989423
sprague-dawley rat,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
home-based care (foster care),0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
quality-control,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
complex ascites,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
developmental context,1,1,1,0.5,0.5,0.0,-0.6171013831111072
parent-related loneliness,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
pornography possessors,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
trauma risk,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
exonerees,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
adolescent suicide,5,8,9,1.8333333333333333,2.8333333333333335,0.43531807125784566,-0.1817833118532617
media and religion,2,0,0,0.8333333333333334,0.16666666666666666,-1.6094379124341005,-2.226539295545207
oligopeptidase,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
new zealand,2,1,4,0.8333333333333334,0.5,-0.5108256237659907,-1.1279270068770977
sexual abuse severity,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
inflammasome activation,0,2,3,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
communal nesting,0,3,3,0.16666666666666666,1.1666666666666667,1.9459101490553135,1.3288087659442054
penn state university scandal,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
folie a deux,1,1,1,0.5,0.5,0.0,-0.6171013831111072
global assessment scale,0,1,2,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
atherogenic risk indices,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
sextortion,2,18,22,0.8333333333333334,6.166666666666667,2.0014800002101243,1.384378617099017
atherogenicity,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
causal-models,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
consume child sexual abuse material,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
social safety net,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
household cooking,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
sensitivity,20,70,93,6.833333333333333,23.5,1.2351878236738605,0.6180864405627533
5httlpr polymorphism,1,1,1,0.5,0.5,0.0,-0.6171013831111072
hypersexual disorder,3,2,3,1.1666666666666667,0.8333333333333334,-0.3364722366212129,-0.9535736197323201
significant others,1,1,1,0.5,0.5,0.0,-0.6171013831111072
institutional childhood abuse,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
mother‐ infant relationship,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
latent growth curve modeling,0,3,4,0.16666666666666666,1.1666666666666667,1.9459101490553135,1.3288087659442054
intra-migration,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
haiti,6,4,10,2.1666666666666665,1.5,-0.36772478012531723,-0.9848261632364252
trait anxiety,4,11,19,1.5,3.8333333333333335,0.9382696385929304,0.3211682554818225
pig,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
ems and child abuse,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
character dimensions,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
high-risk drinking,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
ptci,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
nominal group technique,1,1,1,0.5,0.5,0.0,-0.6171013831111072
peripheral blood cell,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
rape trauma,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
concussions,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
father/s,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
australian national survey,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
health needs,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
chinese version,5,21,26,1.8333333333333333,7.166666666666667,1.363304842895192,0.746203459784085
talk,6,2,3,2.1666666666666665,0.8333333333333334,-0.9555114450274363,-1.5726128281385439
clinician wellness,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
compassion fatigue,4,4,6,1.5,1.5,0.0,-0.6171013831111081
charging decisions,1,1,1,0.5,0.5,0.0,-0.6171013831111072
active sleep,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
early menarche,0,1,2,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
health-status,2,4,6,0.8333333333333334,1.5,0.587786664902119,-0.029314718208988566
transdiagnostic treatment modules,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
afterlife,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
future self-continuity,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
family members,0,4,5,0.16666666666666666,1.5,2.1972245773362196,1.580123194225111
resuscitation,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
neuronal activation,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
incest data,0,3,5,0.16666666666666666,1.1666666666666667,1.9459101490553135,1.3288087659442054
hooking up,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
cognitive vulnerability,5,11,12,1.8333333333333333,3.8333333333333335,0.7375989431307793,0.12049756001967182
glasgow coma scale,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
change talk,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
etiology and risk factors,2,2,2,0.8333333333333334,0.8333333333333334,0.0,-0.6171013831111072
immune markers,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
medical practitioners,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
multiple maltreatment,1,1,2,0.5,0.5,0.0,-0.6171013831111072
mate crime,0,1,3,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
survey of social workers,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
alcohol use problems,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
