topic,display_name,term,log_odds_P4_vs_P1,count_P1,count_P4
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",heal,3.28579609438583,0,25
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",assertiveness,3.066871747551823,0,20
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",aasa,2.9082454897168626,0,17
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",educator,2.849270941436356,0,16
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",therapeutic,2.6481982089813867,0,13
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",condom,2.571103191424908,0,12
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",mentalizing,2.571103191424908,0,12
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",romantic,2.571103191424908,0,12
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",activism,2.487587624012783,0,11
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",insight,2.487587624012783,0,11
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",ambivalent,2.3964819052764517,0,10
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",power,2.3964819052764517,0,10
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",trauma-informed,2.3964819052764517,0,10
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",fantasy,2.3964819052764517,0,10
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",aggression,2.3964819052764517,0,10
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",skpi,-3.2158657857148825,6,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",serbia,-3.2158657857148825,6,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",god,-3.2158657857148825,6,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",injunction,-3.2158657857148825,6,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",utilisation,-3.3592231053764534,7,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",md,-3.3592231053764534,7,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",infectious,-3.3592231053764534,7,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",preschool,-3.3592231053764534,7,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",prosecution,-3.3592231053764534,7,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",cnn,-3.5961250329067234,9,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",cmh,-3.6964651649764084,10,0
