period,topic,count,period_total,share,display_name
P1_pre_pandemic,68,20,1897,0.010542962572482868,"Pregnancy, Postpartum, Perinatal, Unintended"
P1_pre_pandemic,69,14,1897,0.007380073800738007,"Prevention Program, Schoolbased, Skill, Curriculum"
P1_pre_pandemic,70,11,1897,0.005798629414865577,"Ptg, Heal, Inquiry, Recovery"
P1_pre_pandemic,71,16,1897,0.008434370057986295,"Domestic, Domestic Violence, Dv, Witness Domestic"
P1_pre_pandemic,72,11,1897,0.005798629414865577,"Aggression, Aggressive, Reactive, Relational Aggression"
P1_pre_pandemic,73,9,1897,0.004744333157617291,"Caregiver, Caregiver Support, Caregiver Experience, Caregiverchild"
P1_pre_pandemic,74,14,1897,0.007380073800738007,Maternal & infant mental health
P1_pre_pandemic,75,11,1897,0.005798629414865577,"Family Member, Family Function, Family Environment, Family Dynamic"
P1_pre_pandemic,76,7,1897,0.0036900369003690036,"Narrative, Story, Autonomy, Psychoanalysis"
P1_pre_pandemic,78,4,1897,0.0021085925144965737,"Selfcompassion, Compassion, Shame, Selfcriticism"
P1_pre_pandemic,80,15,1897,0.00790722192936215,College students & campus prevention
P1_pre_pandemic,81,13,1897,0.006852925672113864,"Childbirth, Maternity, Mistreatment, Obstetric"
P1_pre_pandemic,82,7,1897,0.0036900369003690036,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic"
P1_pre_pandemic,83,9,1897,0.004744333157617291,"Experience Adverse, Household Dysfunction, Capital, Deviant"
P1_pre_pandemic,84,13,1897,0.006852925672113864,"Cortical, Matter, Thickness, Cortical Thickness"
P1_pre_pandemic,85,10,1897,0.005271481286241434,"Men Woman, Masculinity, Gay, Msm"
P1_pre_pandemic,87,16,1897,0.008434370057986295,Psychosis & psychotic-like experiences
P1_pre_pandemic,89,12,1897,0.0063257775434897206,Adverse childhood experiences (ACE)
P1_pre_pandemic,90,9,1897,0.004744333157617291,"Gut, Microbiome, Ibs, Axis"
P1_pre_pandemic,91,8,1897,0.004217185028993147,Adverse childhood experiences (ACE)
P1_pre_pandemic,92,16,1897,0.008434370057986295,"Genetic, Gene, Polymorphism, Geneenvironment"
P1_pre_pandemic,93,15,1897,0.00790722192936215,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive"
P1_pre_pandemic,94,2,1897,0.0010542962572482868,"Reward, Task, Neural, Processing"
P1_pre_pandemic,95,5,1897,0.002635740643120717,"Sibling, Ssa, Incest, Intrafamilial"
P1_pre_pandemic,96,6,1897,0.0031628887717448603,College students & campus prevention
P1_pre_pandemic,97,16,1897,0.008434370057986295,"Cop Strategy, Cop Style, Style, Religious"
P1_pre_pandemic,98,7,1897,0.0036900369003690036,"Infection, Genital, Vaginal, Lesion"
P1_pre_pandemic,99,9,1897,0.004744333157617291,"Adhd, Hyperactivity, Deficit Hyperactivity, Attentiondeficit"
P1_pre_pandemic,100,7,1897,0.0036900369003690036,"Medium, Social Medium, Metoo, News"
P1_pre_pandemic,101,7,1897,0.0036900369003690036,"Divorce, Alienation, Parental Education, Parental Divorce"
P1_pre_pandemic,102,6,1897,0.0031628887717448603,"Deprivation, Threat Deprivation, Deprivation Threat, Dimensional"
P1_pre_pandemic,103,10,1897,0.005271481286241434,Adverse childhood experiences (ACE)
P1_pre_pandemic,104,10,1897,0.005271481286241434,"Hr Ci, Hr, Ci Ci, Schoolchildren"
P2_pandemic_transition,0,287,4806,0.0597170203911777,Maternal & infant mental health
P2_pandemic_transition,1,209,4806,0.04348730753225135,Adverse childhood experiences (ACE)
P2_pandemic_transition,2,156,4806,0.03245942571785269,PTSD treatment (EMDR / trauma-focused CBT)
P2_pandemic_transition,3,122,4806,0.025384935497295046,"Csa, Csa Survivor, Experience Csa, Survivor Csa"
P2_pandemic_transition,4,107,4806,0.022263836870578445,Intimate partner violence
P2_pandemic_transition,5,112,4806,0.023304203079483977,"Injury, Fracture, Infant, Head"
P2_pandemic_transition,6,97,4806,0.020183104452767373,"Attachment, Attachment Style, Style, Insecure"
P2_pandemic_transition,7,110,4806,0.022888056595921764,COVID-19 pandemic impact
